menu_a,menu_b,support_days,conf_a_to_b,conf_b_to_a,lift,jaccard,cosine
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_잔디그늘집 의자 추가,104,0.6933333333333334,0.8125,2.8816666666666664,0.5977011494252874,0.7505553499465134
느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,119,0.672316384180791,0.9296875,2.7943149717514126,0.6397849462365591,0.7905973301359417
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),131,0.8733333333333333,0.7401129943502824,2.624934086629002,0.6683673469387755,0.8039684996312024
느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),177,1.0,0.7866666666666666,2.3644444444444446,0.7866666666666666,0.8869423130433381
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),150,1.0,0.6666666666666666,2.3644444444444446,0.6666666666666666,0.8164965809277261
느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,128,0.5688888888888889,1.0,2.3644444444444446,0.5688888888888889,0.7542472332656507
느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_카스 병(단체),228,0.991304347826087,0.991304347826087,2.292930056710775,0.9827586206896551,0.991304347826087
느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_콜라 (단체),223,0.9823788546255506,0.9780701754385965,2.2922173274596185,0.9612068965517241,0.980222147623068
느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_잔디그늘집 의자 추가,72,0.549618320610687,0.5625,2.284351145038168,0.3850267379679144,0.5560218568936939
느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_콜라 (단체),166,0.9764705882352941,0.7280701754385965,2.27843137254902,0.7155172413793104,0.8431720539054293
느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_허브솔트,82,0.6259541984732825,0.5578231292517006,2.2653580516175933,0.41836734693877553,0.5909075475576585
느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_참이슬 (단체),165,0.9705882352941176,0.717391304347826,2.2450127877237853,0.7021276595744681,0.8344408667498865
느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_카스 병(단체),165,0.9705882352941176,0.717391304347826,2.2450127877237853,0.7021276595744681,0.8344408667498865
느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_콜라 (단체),219,0.9521739130434783,0.9605263157894737,2.221739130434783,0.9163179916317992,0.9563409960293969
느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),219,0.9521739130434783,0.9605263157894737,2.221739130434783,0.9163179916317992,0.9563409960293969
느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_참이슬 (단체),218,0.960352422907489,0.9478260869565217,2.2213369086381918,0.9121338912133892,0.9540686972664075
느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_카스 병(단체),218,0.960352422907489,0.9478260869565217,2.2213369086381918,0.9121338912133892,0.9540686972664075
느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_스프라이트 (단체),161,0.9470588235294117,0.7092511013215859,2.2195387406063745,0.6822033898305084,0.8195745930692098
느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_허브솔트,77,0.6015625,0.5238095238095238,2.1770833333333335,0.3888888888888889,0.5613413993878116
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈장,80,0.5333333333333333,0.6106870229007634,2.1659033078880405,0.39800995024875624,0.5707011000051374
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_허브솔트,86,0.5733333333333334,0.5850340136054422,2.074920634920635,0.4075829383886256,0.5791541255432675
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_햇반,113,0.7533333333333333,0.5566502463054187,1.974252873563218,0.4708333333333333,0.6475671282192157
느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),86,0.6564885496183206,0.4858757062146893,1.9731746237115626,0.38738738738738737,0.5647759181017358
느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_햇반,95,0.7421875,0.46798029556650245,1.9450431034482758,0.4025423728813559,0.5893463545452398
느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_햇반,97,0.7404580152671756,0.47783251231527096,1.9405106607001843,0.4092827004219409,0.5948234306910697
느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_햇반,113,0.738562091503268,0.5566502463054187,1.9355420329051158,0.46502057613168724,0.6411870009187174
느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_친환경 접시 23cm,110,0.859375,0.4641350210970464,1.9290611814345993,0.43137254901960786,0.6315584167401099
느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_잔디그늘집 의자 추가,70,0.45751633986928103,0.546875,1.9015522875816995,0.33175355450236965,0.5002042066656508
느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_허브솔트,92,0.519774011299435,0.6258503401360545,1.8810868980360502,0.39655172413793105,0.5703514195350379
느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_햇반,127,0.7175141242937854,0.625615763546798,1.8803818429768164,0.5019762845849802,0.6699911542144931
느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,105,0.5172413793103449,0.7142857142857143,1.8719211822660096,0.42857142857142855,0.6078306738548308
느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,70,0.5343511450381679,0.45751633986928103,1.8580052886294465,0.32710280373831774,0.49444350545115057
"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_쌈야채세트,125,0.8445945945945946,0.5122950819672131,1.8414931324767392,0.4681647940074906,0.6577854187095538
느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_허브솔트,77,0.5032679738562091,0.5238095238095238,1.8213507625272332,0.3452914798206278,0.5134360308102702
느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_허브솔트,117,0.4936708860759494,0.7959183673469388,1.786618444846293,0.43820224719101125,0.6268346876587848
느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_잔디그늘집 의자 추가,69,0.42592592592592593,0.5390625,1.7702546296296298,0.31221719457013575,0.4791666666666667
느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),98,0.7480916030534351,0.43555555555555553,1.7688210347752333,0.3798449612403101,0.5708199836852115
느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_햇반,109,0.6728395061728395,0.5369458128078818,1.763303533418476,0.42578125,0.6010643522379522
느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,139,0.8580246913580247,0.5366795366795367,1.7624290957624291,0.4929078014184397,0.6785899305306756
느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_허브솔트,109,0.48444444444444446,0.7414965986394558,1.753227513227513,0.4144486692015209,0.5993445651587543
느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,81,0.5294117647058824,0.5,1.7385620915032678,0.34615384615384615,0.5144957554275266
느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_친환경 접시 23cm,125,0.7716049382716049,0.5274261603375527,1.7320414648122102,0.4562043795620438,0.6379377946869796
느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),88,0.5751633986928104,0.4971751412429379,1.7287397068055093,0.36363636363636365,0.5347494216760466
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_친환경 접시 23cm,115,0.7666666666666667,0.48523206751054854,1.720956399437412,0.4227941176470588,0.609927251201393
느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_친환경 접시 14cm,84,0.6412213740458015,0.42,1.705648854961832,0.340080971659919,0.518953733100781
느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_햇반,146,0.6488888888888888,0.7192118226600985,1.700536398467433,0.5177304964539007,0.6831460755077672
느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_친환경 접시 23cm,99,0.7557251908396947,0.4177215189873418,1.6963957870325634,0.3680297397769517,0.5618564537802836
"느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_쌈장,69,0.41566265060240964,0.5267175572519084,1.6880345810723811,0.3026315789473684,0.467906845393562
느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_친환경 접시 23cm,133,0.751412429378531,0.5611814345991561,1.6867148203771245,0.47330960854092524,0.6493679273680532
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_일회용 소주컵,77,0.5133333333333333,0.47530864197530864,1.685761316872428,0.3276595744680851,0.4939552303066798
느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_일회용 소주컵,67,0.5114503816793893,0.41358024691358025,1.6795777966261427,0.29646017699115046,0.4599193137268826
느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_친환경 접시 14cm,180,0.627177700348432,0.9,1.6682926829268292,0.5863192182410424,0.7513054840167139
"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_친환경 접시 14cm,92,0.6216216216216216,0.46,1.6535135135135135,0.359375,0.5347391382215686
느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_친환경 접시 14cm,95,0.6209150326797386,0.475,1.6516339869281047,0.3682170542635659,0.543078852951278
느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,99,0.4057377049180328,0.7557251908396947,1.6477286947816294,0.358695652173913,0.5537383899279876
느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_친환경 접시 14cm,100,0.6172839506172839,0.5,1.6419753086419753,0.3816793893129771,0.5555555555555556
느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_육개장 사발면,115,0.4713114754098361,0.7516339869281046,1.6388085288760315,0.4078014184397163,0.5951921734593478
느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_햇반,125,0.625,0.6157635467980296,1.6379310344827587,0.44964028776978415,0.6203645837318315
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_육개장 사발면,70,0.4666666666666667,0.45751633986928103,1.6226579520697166,0.30042918454935624,0.46206885338911463
느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_햇반,151,0.6188524590163934,0.7438423645320197,1.6218202374222725,0.5101351351351351,0.6784752585107352
느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_햇반,146,0.6160337552742616,0.7192118226600985,1.614433289684272,0.4965986394557823,0.665626591980028
느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),87,0.5370370370370371,0.4915254237288136,1.6141452186649927,0.34523809523809523,0.513777536670976
느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_쌈장,114,0.397212543554007,0.8702290076335878,1.6131074287842113,0.375,0.5879335656318805
느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,143,0.715,0.6033755274261603,1.6049789029535868,0.48639455782312924,0.6568207534097142
