antecedent,consequent,support_days,confidence,lift
느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),177,1.0,2.3644444444444446
느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),150,1.0,2.3644444444444446
느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),128,1.0,2.3644444444444446
느티나무 셀프BBQ_육개장 사발면,"느티나무 셀프BBQ_대여료 30,000원",152,0.9934640522875817,1.3049947551036876
느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_카스 병(단체),228,0.991304347826087,2.292930056710775
느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_참이슬 (단체),228,0.991304347826087,2.292930056710775
느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_콜라 (단체),223,0.9823788546255506,2.2922173274596185
느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_스프라이트 (단체),223,0.9780701754385965,2.2922173274596185
느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_콜라 (단체),166,0.9764705882352941,2.27843137254902
느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_참이슬 (단체),165,0.9705882352941176,2.2450127877237853
느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_카스 병(단체),165,0.9705882352941176,2.2450127877237853
느티나무 셀프BBQ_쌈장,"느티나무 셀프BBQ_대여료 30,000원",127,0.9694656488549618,1.273470926397135
"느티나무 셀프BBQ_본삼겹 (단품,실내)","느티나무 셀프BBQ_대여료 30,000원",143,0.9662162162162162,1.2692025358692027
"느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_대여료 30,000원",160,0.963855421686747,1.2661014428082702
느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_참이슬 (단체),219,0.9605263157894737,2.221739130434783
느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_카스 병(단체),219,0.9605263157894737,2.221739130434783
느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_참이슬 (단체),218,0.960352422907489,2.2213369086381918
느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_카스 병(단체),218,0.960352422907489,2.2213369086381918
느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_콜라 (단체),219,0.9521739130434783,2.221739130434783
느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),219,0.9521739130434783,2.221739130434783
