antecedent,consequent,support_days,confidence,lift
담하_(정식) 된장찌개,담하_담하 한우 불고기 정식,329,1.0,1.5375722543352601
담하_문막 복분자 칵테일,담하_담하 한우 불고기 정식,78,1.0,1.5375722543352601
담하_(정식) 비빔냉면,담하_담하 한우 불고기 정식,291,0.9931740614334471,1.5270768805855313
담하_(정식) 물냉면 ,담하_담하 한우 불고기 정식,282,0.9929577464788732,1.5267442807131808
담하_갱시기,담하_담하 한우 불고기 정식,122,0.9838709677419355,1.5127727018459816
담하_더덕 한우 지짐,담하_담하 한우 불고기 정식,172,0.9772727272727273,1.502627430373095
담하_(정식) 비빔냉면,담하_(정식) 된장찌개,286,0.9761092150170648,1.5783893689637647
담하_문막 복분자 칵테일,담하_(정식) 된장찌개,76,0.9743589743589743,1.575559192580469
담하_(정식) 물냉면 ,담하_(정식) 된장찌개,275,0.9683098591549296,1.5657776445909497
담하_(후식) 비빔냉면,담하_담하 한우 불고기 정식,203,0.9666666666666667,1.486319845857418
담하_(후식) 물냉면,담하_담하 한우 불고기 정식,224,0.9655172413793104,1.4845525214271478
담하_명인안동소주,담하_담하 한우 불고기 정식,75,0.9615384615384616,1.4784348599377504
담하_더덕 한우 지짐,담하_(정식) 된장찌개,169,0.9602272727272727,1.5527079303675049
담하_봉평메밀 물냉면,담하_담하 한우 불고기 정식,303,0.9528301886792453,1.4650452612062383
담하_갱시기,담하_(정식) 된장찌개,118,0.9516129032258065,1.5387783115991764
담하_담하 한우 불고기 정식,담하_(정식) 된장찌개,329,0.9508670520231214,1.5375722543352601
담하_문막 복분자 칵테일,담하_한우 미역국 정식,74,0.9487179487179487,1.1710393241715746
담하_꼬막 비빔밥,담하_담하 한우 불고기 정식,174,0.9456521739130435,1.4540085448605178
담하_갱시기,담하_한우 미역국 정식,117,0.9435483870967742,1.164658333957039
담하_(후식) 비빔냉면,담하_명태회 비빔냉면,198,0.9428571428571428,1.510843373493976
담하_명태회 비빔냉면,담하_담하 한우 불고기 정식,313,0.9427710843373494,1.4495786614666761
담하_더덕 한우 지짐,담하_한우 미역국 정식,165,0.9375,1.1571925754060326
담하_문막 복분자 칵테일,담하_(정식) 물냉면 ,73,0.9358974358974359,1.7531599855543518
담하_문막 복분자 칵테일,담하_(정식) 비빔냉면,73,0.9358974358974359,1.6993086549400547
담하_명인안동소주,담하_명태회 비빔냉면,73,0.9358974358974359,1.4996910719802288
담하_명인안동소주,담하_한우 미역국 정식,73,0.9358974358974359,1.1552144684395265
담하_(후식) 물냉면,담하_명태회 비빔냉면,217,0.9353448275862069,1.4988055670959701
담하_꼬막 비빔밥,담하_들깨 양지탕,172,0.9347826086956522,1.2279119699409555
담하_(후식) 비빔냉면,담하_봉평메밀 물냉면,196,0.9333333333333333,1.5614255765199159
담하_(후식) 비빔냉면,담하_(정식) 된장찌개,195,0.9285714285714286,1.5015197568389056
담하_봉평메밀 물냉면,담하_명태회 비빔냉면,295,0.9276729559748428,1.4865120860801695
담하_갱시기,담하_명태회 비빔냉면,115,0.9274193548387096,1.486105713175282
담하_명인안동소주,담하_(정식) 된장찌개,72,0.9230769230769231,1.492635024549918
담하_문막 복분자 칵테일,담하_명태회 비빔냉면,72,0.9230769230769231,1.4791473586654311
담하_명인안동소주,담하_(후식) 된장찌개,72,0.9230769230769231,1.1776425013835086
담하_(정식) 물냉면 ,담하_봉평메밀 물냉면,262,0.9225352112676056,1.5433607936929752
담하_(정식) 물냉면 ,담하_명태회 비빔냉면,262,0.9225352112676056,1.478279314440862
담하_더덕 한우 지짐,담하_명태회 비빔냉면,162,0.9204545454545454,1.4749452354874042
담하_(후식) 물냉면,담하_봉평메밀 물냉면,213,0.9181034482758621,1.535946649316851
담하_(후식) 물냉면,담하_(정식) 된장찌개,213,0.9181034482758621,1.4845928099779897
담하_제로콜라,담하_(후식) 된장찌개,156,0.9176470588235294,1.1707151925518409
담하_(후식) 비빔냉면,담하_(후식) 된장찌개,192,0.9142857142857143,1.1664268585131892
담하_갱시기,담하_(정식) 비빔냉면,113,0.9112903225806451,1.6546295276890897
담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,71,0.9102564102564102,1.5228189001773906
담하_봉평메밀 물냉면,담하_(정식) 된장찌개,289,0.9088050314465409,1.4695570721263211
담하_(정식) 물냉면 ,담하_(정식) 비빔냉면,258,0.9084507042253521,1.649473633610537
담하_(정식) 된장찌개,담하_명태회 비빔냉면,298,0.9057750759878419,1.451422712125096
담하_(단체) 은이버섯 갈비탕,담하_담하 한우 불고기 정식,76,0.9047619047619048,1.3911368015414258
담하_담하 한우 불고기 정식,담하_명태회 비빔냉면,313,0.9046242774566474,1.4495786614666761
담하_처음처럼,담하_(후식) 된장찌개,180,0.9045226130653267,1.1539712953255483
담하_(정식) 비빔냉면,담하_봉평메밀 물냉면,265,0.9044368600682594,1.5130830489192262
담하_꼬막 비빔밥,담하_(정식) 된장찌개,166,0.9021739130434783,1.4588344125809436
담하_(단체) 생목살 김치전골 2.0,담하_명태회 비빔냉면,64,0.9014084507042254,1.444425589682674
담하_(정식) 비빔냉면,담하_명태회 비빔냉면,264,0.9010238907849829,1.4438093671614787
담하_명태회 비빔냉면,담하_(정식) 된장찌개,298,0.8975903614457831,1.451422712125096
담하_갱시기,담하_(정식) 물냉면 ,111,0.8951612903225806,1.6768514311676512
담하_갱시기,담하_봉평메밀 물냉면,111,0.8951612903225806,1.4975654290931224
담하_(단체) 은이버섯 갈비탕,담하_봉평메밀 물냉면,75,0.8928571428571429,1.4937106918238994
