antecedent,consequent,support_days,confidence,lift
카페테리아_샷 추가,카페테리아_복숭아 아이스티,134,1.0,3.594594594594595
카페테리아_샷 추가,카페테리아_새우튀김 우동,134,1.0,3.594594594594595
카페테리아_샷 추가,카페테리아_아메리카노(HOT),134,1.0,3.594594594594595
카페테리아_샷 추가,카페테리아_아메리카노(ICE),134,1.0,3.594594594594595
카페테리아_샷 추가,카페테리아_카페라떼(HOT),134,1.0,3.594594594594595
카페테리아_복숭아 아이스티,카페테리아_새우튀김 우동,148,1.0,3.5945945945945947
카페테리아_새우튀김 우동,카페테리아_복숭아 아이스티,148,1.0,3.5945945945945947
카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),148,1.0,3.5945945945945947
카페테리아_아메리카노(ICE),카페테리아_아메리카노(HOT),148,1.0,3.5945945945945947
카페테리아_아메리카노(HOT),카페테리아_카페라떼(HOT),148,1.0,3.5945945945945947
카페테리아_카페라떼(HOT),카페테리아_아메리카노(HOT),148,1.0,3.5945945945945947
카페테리아_아메리카노(ICE),카페테리아_카페라떼(HOT),148,1.0,3.5945945945945947
카페테리아_카페라떼(HOT),카페테리아_아메리카노(ICE),148,1.0,3.5945945945945947
카페테리아_카페라떼(ICE),카페테리아_복숭아 아이스티,145,1.0,3.5945945945945947
카페테리아_카페라떼(ICE),카페테리아_새우튀김 우동,145,1.0,3.5945945945945947
카페테리아_카페라떼(ICE),카페테리아_아메리카노(HOT),145,1.0,3.5945945945945947
카페테리아_카페라떼(ICE),카페테리아_아메리카노(ICE),145,1.0,3.5945945945945947
카페테리아_카페라떼(ICE),카페테리아_카페라떼(HOT),145,1.0,3.5945945945945947
카페테리아_복숭아 아이스티,카페테리아_구슬아이스크림,148,1.0,3.3459119496855343
카페테리아_새우튀김 우동,카페테리아_구슬아이스크림,148,1.0,3.3459119496855343
카페테리아_아메리카노(HOT),카페테리아_구슬아이스크림,148,1.0,3.3459119496855343
카페테리아_아메리카노(ICE),카페테리아_구슬아이스크림,148,1.0,3.3459119496855343
카페테리아_카페라떼(HOT),카페테리아_구슬아이스크림,148,1.0,3.3459119496855343
카페테리아_카페라떼(ICE),카페테리아_구슬아이스크림,145,1.0,3.3459119496855343
