venue,menu_a,menu_b,support_days,conf_a_to_b,conf_b_to_a,lift,jaccard,cosine
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_잔디그늘집 의자 추가,104,0.6933333333333334,0.8125,2.8816666666666664,0.5977011494252874,0.7505553499465134
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,119,0.672316384180791,0.9296875,2.7943149717514126,0.6397849462365591,0.7905973301359417
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),131,0.8733333333333333,0.7401129943502824,2.624934086629002,0.6683673469387755,0.8039684996312024
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),177,1.0,0.7866666666666666,2.3644444444444446,0.7866666666666666,0.8869423130433381
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),150,1.0,0.6666666666666666,2.3644444444444446,0.6666666666666666,0.8164965809277261
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,128,0.5688888888888889,1.0,2.3644444444444446,0.5688888888888889,0.7542472332656507
느티나무 셀프BBQ,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_카스 병(단체),228,0.991304347826087,0.991304347826087,2.292930056710775,0.9827586206896551,0.991304347826087
느티나무 셀프BBQ,느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_콜라 (단체),223,0.9823788546255506,0.9780701754385965,2.2922173274596185,0.9612068965517241,0.980222147623068
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_잔디그늘집 의자 추가,72,0.549618320610687,0.5625,2.284351145038168,0.3850267379679144,0.5560218568936939
느티나무 셀프BBQ,느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_콜라 (단체),166,0.9764705882352941,0.7280701754385965,2.27843137254902,0.7155172413793104,0.8431720539054293
