영업일자,총매출수량
2023-01-01,4070
2023-01-02,3064
2023-01-03,2916
2023-01-04,2930
2023-01-05,3514
2023-01-06,4204
2023-01-07,7070
2023-01-08,5084
2023-01-09,3584
2023-01-10,3614
2023-01-11,3544
2023-01-12,4020
2023-01-13,1987
2023-01-14,4009
2023-01-15,4611
2023-01-16,3333
2023-01-17,3257
2023-01-18,3366
2023-01-19,3559
2023-01-20,4135
2023-01-21,4812
2023-01-22,5050
2023-01-23,7938
2023-01-24,2836
2023-01-25,2256
2023-01-26,3238
2023-01-27,4244
2023-01-28,6849
2023-01-29,5517
2023-01-30,3271
2023-01-31,2805
2023-02-01,2710
2023-02-02,3465
2023-02-03,4240
2023-02-04,7700
2023-02-05,5255
2023-02-06,2942
2023-02-07,2586
2023-02-08,2836
2023-02-09,3248
2023-02-10,3711
2023-02-11,7207
2023-02-12,5471
2023-02-13,2914
2023-02-14,2778
2023-02-15,2356
2023-02-16,2765
2023-02-17,4215
2023-02-18,5150
2023-02-19,3651
2023-02-20,2353
2023-02-21,2180
2023-02-22,2027
2023-02-23,2084
2023-02-24,2844
2023-02-25,4197
2023-02-26,3313
2023-02-27,1891
2023-02-28,1849
2023-03-01,989
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,256
2023-03-11,447
2023-03-12,215
2023-03-13,454
2023-03-14,444
2023-03-15,189
2023-03-16,1283
2023-03-17,720
2023-03-18,571
2023-03-19,271
2023-03-20,257
2023-03-21,112
2023-03-22,78
2023-03-23,672
2023-03-24,573
2023-03-25,495
2023-03-26,266
2023-03-27,87
2023-03-28,235
2023-03-29,127
2023-03-30,363
2023-03-31,2278
2023-04-01,3526
2023-04-02,3004
2023-04-03,366
2023-04-04,1908
2023-04-05,752
2023-04-06,1461
2023-04-07,2487
2023-04-08,2548
2023-04-09,2402
2023-04-10,251
2023-04-11,925
2023-04-12,1952
2023-04-13,2139
2023-04-14,2242
2023-04-15,1442
2023-04-16,1749
2023-04-17,599
2023-04-18,736
2023-04-19,1786
2023-04-20,1618
2023-04-21,2004
2023-04-22,2729
2023-04-23,2495
2023-04-24,272
2023-04-25,819
2023-04-26,1026
2023-04-27,1613
2023-04-28,1732
2023-04-29,1665
2023-04-30,2769
2023-05-01,1733
2023-05-02,874
2023-05-03,932
2023-05-04,1038
2023-05-05,1141
2023-05-06,1150
2023-05-07,1531
2023-05-08,384
2023-05-09,1360
2023-05-10,1186
2023-05-11,1472
2023-05-12,1896
2023-05-13,2626
2023-05-14,1719
2023-05-15,560
2023-05-16,1161
2023-05-17,876
2023-05-18,1516
2023-05-19,2188
2023-05-20,2225
2023-05-21,1573
2023-05-22,379
2023-05-23,1243
2023-05-24,929
2023-05-25,1742
2023-05-26,1287
2023-05-27,1367
2023-05-28,1013
2023-05-29,1327
2023-05-30,839
2023-05-31,774
2023-06-01,917
2023-06-02,1314
2023-06-03,2122
2023-06-04,2393
2023-06-05,1604
2023-06-06,2065
2023-06-07,760
2023-06-08,1237
2023-06-09,1534
2023-06-10,1585
2023-06-11,1150
2023-06-12,1049
2023-06-13,1241
2023-06-14,1881
2023-06-15,1988
2023-06-16,3321
2023-06-17,2222
2023-06-18,1696
2023-06-19,1077
2023-06-20,1372
2023-06-21,1255
2023-06-22,2279
2023-06-23,1612
2023-06-24,1866
2023-06-25,1433
2023-06-26,862
2023-06-27,834
2023-06-28,859
2023-06-29,1417
2023-06-30,1860
2023-07-01,1826
2023-07-02,870
2023-07-03,449
2023-07-04,1124
2023-07-05,522
2023-07-06,1103
2023-07-07,1495
2023-07-08,1549
2023-07-09,797
2023-07-10,501
2023-07-11,625
2023-07-12,631
2023-07-13,1143
2023-07-14,1469
2023-07-15,1050
2023-07-16,660
2023-07-17,702
2023-07-18,874
2023-07-19,1041
2023-07-20,1005
2023-07-21,1456
2023-07-22,973
2023-07-23,685
2023-07-24,718
2023-07-25,1027
2023-07-26,972
2023-07-27,948
2023-07-28,1099
2023-07-29,1272
2023-07-30,1080
2023-07-31,1015
2023-08-01,1060
2023-08-02,863
2023-08-03,894
2023-08-04,1068
2023-08-05,1007
2023-08-06,818
2023-08-07,716
2023-08-08,880
2023-08-09,650
2023-08-10,1104
2023-08-11,1070
2023-08-12,1063
2023-08-13,1452
2023-08-14,1140
2023-08-15,1181
2023-08-16,739
2023-08-17,856
2023-08-18,1032
2023-08-19,1249
2023-08-20,753
2023-08-21,415
2023-08-22,755
2023-08-23,407
2023-08-24,888
2023-08-25,1277
2023-08-26,1439
2023-08-27,1103
2023-08-28,690
2023-08-29,873
2023-08-30,1008
2023-08-31,1599
2023-09-01,1198
2023-09-02,1804
2023-09-03,1313
2023-09-04,320
2023-09-05,1456
2023-09-06,908
2023-09-07,809
2023-09-08,1232
2023-09-09,1824
2023-09-10,1540
2023-09-11,492
2023-09-12,1210
2023-09-13,1146
2023-09-14,1820
2023-09-15,1963
2023-09-16,1880
2023-09-17,1284
2023-09-18,1500
2023-09-19,2465
2023-09-20,1866
2023-09-21,1417
2023-09-22,1901
2023-09-23,2965
2023-09-24,1834
2023-09-25,483
2023-09-26,911
2023-09-27,659
2023-09-28,2856
2023-09-29,3779
2023-09-30,3187
2023-10-01,3332
2023-10-02,3434
2023-10-03,2556
2023-10-04,1013
2023-10-05,1366
2023-10-06,1895
2023-10-07,3198
2023-10-08,3795
2023-10-09,3242
2023-10-10,1844
2023-10-11,2169
2023-10-12,2675
2023-10-13,3981
2023-10-14,2844
2023-10-15,3265
