menu,best_model,score_val,weighted_smape,restaurant_weight,model_weights,smape
담하_들깨 양지탕,WeightedEnsemble,0.0,-0.0,2.0,"{'TemporalFusionTransformer': 0.6508167197717666, 'DirectTabular': 0.1292928140404528, 'Chronos[autogluon__chronos-bolt-small]': 0.09686588579181107, 'ETS': 0.08341381138435373, 'Theta': 0.03961076901161572}",-0.0
담하_꼬막 비빔밥,WeightedEnsemble,0.0,-0.0,2.0,"{'TemporalFusionTransformer': 0.4942985779522371, 'DirectTabular': 0.1961341120634589, 'Chronos[autogluon__chronos-bolt-small]': 0.16374457392728284, 'ETS': 0.08854465724625513, 'Theta': 0.05727807881076614}",-0.0
카페테리아_새우튀김 우동,WeightedEnsemble,0.0,-0.0,1.0,"{'TemporalFusionTransformer': 0.4737744278713169, 'DirectTabular': 0.20469236194075216, 'ETS': 0.15098020521757555, 'Chronos[autogluon__chronos-bolt-small]': 0.14359960089045473, 'Theta': 0.026953404079900486}",-0.0
카페테리아_오픈푸드,WeightedEnsemble,0.0,-0.0,1.0,"{'Chronos[autogluon__chronos-bolt-small]': 0.5297441387308014, 'ETS': 0.26160548933127836, 'Theta': 0.08860161124159804, 'TemporalFusionTransformer': 0.06278196154412916, 'DirectTabular': 0.05726679915219302}",-0.0
카페테리아_진사골 설렁탕,WeightedEnsemble,0.0,-0.0,1.0,"{'TemporalFusionTransformer': 0.40957983852616503, 'Chronos[autogluon__chronos-bolt-small]': 0.3036039240134953, 'DirectTabular': 0.1896871571937201, 'ETS': 0.0646435039083435, 'Theta': 0.03248557635827603}",-0.0
카페테리아_카페라떼(ICE),WeightedEnsemble,0.0,-0.0,1.0,"{'TemporalFusionTransformer': 0.49117382435729046, 'DirectTabular': 0.23782401386647756, 'Chronos[autogluon__chronos-bolt-small]': 0.1603856502917881, 'ETS': 0.07164352583366648, 'Theta': 0.038972985650777496}",-0.0
포레스트릿_복숭아 아이스티,WeightedEnsemble,0.0,-0.0,1.0,"{'TemporalFusionTransformer': 0.8538302824011501, 'DirectTabular': 0.04506988249943433, 'Chronos[autogluon__chronos-bolt-small]': 0.039334807535504994, 'Theta': 0.035412353896512726, 'ETS': 0.026352673667397856}",-0.0
카페테리아_카페라떼(HOT),WeightedEnsemble,0.0,-0.0,1.0,"{'ETS': 0.41297868234885593, 'TemporalFusionTransformer': 0.40152063665495563, 'Chronos[autogluon__chronos-bolt-small]': 0.11464622725138766, 'DirectTabular': 0.04569078727000135, 'Theta': 0.025163666474799513}",-0.0
카페테리아_구슬아이스크림,WeightedEnsemble,0.0,-0.0,1.0,"{'ETS': 0.392176619673145, 'TemporalFusionTransformer': 0.38804011466831156, 'DirectTabular': 0.12733464434901134, 'Chronos[autogluon__chronos-bolt-small]': 0.06659708827169691, 'Theta': 0.02585153303783534}",-0.0
카페테리아_복숭아 아이스티,WeightedEnsemble,0.0,-0.0,1.0,"{'TemporalFusionTransformer': 0.5810912632750203, 'Chronos[autogluon__chronos-bolt-small]': 0.16555148871777917, 'DirectTabular': 0.1178096923290058, 'ETS': 0.09758267155432523, 'Theta': 0.03796488412386969}",-0.0
